shot,act,title,core,ext_tc_in,ext_tc_out,core_tc_in,core_tc_out,seconds,narration,sfx,prompt
11,II. THE BREAK,The Homing,yes,01:40,01:50,01:00,01:10,10,And ten stars did the one thing nobody in recorded history had ever seen them do. They went home. All of them. At once.,A single held orchestral swell. Ten departing pitches. Then nothing.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. SHOT: Enormous wide exterior night shot of the mountainside above the vault, camera static and reverent. The roof of the ruin blows open and ten beams of coloured light tear vertically out of it into the night sky — green, silver, ice blue, ember red, storm white, turquoise, pale aurora, gold, violet, and one iridescent — then each one bends, separately, at a different angle, and streaks away over the horizon in a different direction, over ocean, forest, mountain and desert, leaving long fading trails of colour hanging across the whole sky. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
12,III. THE EMPTY SKY,The map burns,yes,01:50,02:00,01:10,01:20,10,"The stars had never carried his memories. They had carried the map he kept them on. When it broke, so did he.","Everything underwater. A four-note lullaby, hummed, very faint.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Slow push-in, extreme close-up on LUMI's face as he collapses sideways onto the broken mosaic floor, cheek against cold stone, the torn empty scarf pooled around him. His pupils are wide and searching. Reflected in his eye, faint ghost-images surface and dissolve one after another — a face, a doorway, a hand, a snowfall — each one fading out an instant after it appears, until the reflection holds nothing but the empty ruined ceiling above him. His eyes lose focus completely. The last thing that moves is his breath. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
13,III. THE EMPTY SKY,Waking in the meadow,yes,02:00,02:10,01:20,01:30,10,,Wind in grass. Birdsong. Unbearably peaceful. A long time before any music.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Low shot from ground level in tall sunlit meadow grass, lens almost touching the soil, shallow focus. Blue sky and slow clouds fill the top of frame. Insects drift through warm bars of light. LUMI's eyes open in the foreground, unfocused, blinking hard against the brightness. The camera slowly rises with him as he sits up, disoriented, turning his head left and right across a landscape he clearly does not recognise, wind moving the grass all around him and the torn indigo scarf hanging dark and empty around his neck. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
14,III. THE EMPTY SKY,Nothing happens,yes,02:10,02:20,01:30,01:40,10,"He woke in a field with a scarf full of empty spaces, and no way of telling which one of them had been his own name.","Silence under the wind. One very small, unmusical note.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Tight close-up, handheld micro-drift, on LUMI's paw and the scarf. He touches one empty silver fastening. Nothing happens. He touches the next one. Nothing happens. The camera tilts slowly up from the scarf to his face as he keeps touching them, faster now, working along the row — and the realisation arrives in his eyes and his ears flatten back against his skull. He stops. He looks out at the vast empty meadow around him. He has absolutely no idea who he is. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
15,III. THE EMPTY SKY,Nobody saw that,no,02:20,02:30,,,10,"He did not know what a Starkeeper was. He did not know where he was. He was, however, still extremely polite about it.",A single plucked string on the fall. Comic timing. Let the silence do it.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Wide comedic locked-off shot in the meadow. LUMI gathers himself with great dignity and attempts to stand. His legs fold and he goes face-first into the grass and disappears completely. A long still beat with nothing in frame but swaying grass. Then his head emerges, grass stuck to his ears, and he looks slowly and directly toward a tiny glowing bulb-shaped creature watching him from behind a flower. The creature stares back. It drops silently underground. Lumi's tail twitches once. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
16,III. THE EMPTY SKY,Mirrowen,no,02:30,02:40,,,10,"Somewhere inside that city, somebody knew who he used to be. That was the only plan he had.",Bells. Market noise rising as the crane clears the ridge. Warmth.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Sweeping crane reveal as the camera rises over a ridge of flowering trees to disclose the city of Mirrowen in full morning light: stone towers wound with ivy, slow windmills, arched bridges over streams that glow faintly beneath the surface, market banners snapping, small copper airships drifting between rooftops on lazy thermals, and at the absolute centre an ancient tree so vast its branches carry the whole skyline. LUMI is a tiny white figure at the bottom of frame on the road below, walking toward it, scarf trailing. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
17,IV. TEN REGIONS,Whispering Meadow — nothing ends,no,02:40,02:50,,,10,The stars had gone home. And home had not been ready for them.,Too much birdsong. A creaking of roots under everything.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. SHOT: Slow lateral dolly through an overgrown meadow at golden hour, and something is deeply wrong with it. Every flower of every season is open at once. Grass stands shoulder-high and utterly motionless in wind that is clearly blowing. A long-fallen tree lies split open and still bright green, held upright by the living grass driving straight through its trunk. Nothing has rotted. The camera passes a wooden fence swallowed to the top rail, then a farm gate that cannot be opened for the roots, and settles on a village beyond, half-buried in green. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
18,IV. TEN REGIONS,Frostfang — the valley that will not thaw,yes,02:50,03:00,01:40,01:50,10,A valley where the snow has not melted since the night it fell. Where nothing heals — because nothing is allowed to change.,"Absolute silence. A distant, single, held violin note. Ice ticking.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. SHOT: Slow push-in down a snowbound alpine valley at night under an enormous curtain of green and violet aurora filling the entire upper frame and rippling continuously. Everything below is perfectly, unnaturally still: a frozen waterfall caught mid-fall, snow lying undisturbed on every surface in exactly the same depth, one small window of warm orange lamplight in a distant wooden house. Not one flake is falling. Not one thing moves except the aurora overhead. The camera arrives at the lit window and holds. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
19,IV. TEN REGIONS,Ember Canyon — never finished,no,03:00,03:10,,,10,"A canyon that has been burning for a year, and has not yet finished becoming anything at all.",Roar of standing fire. No crackle — it never consumes anything.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. SHOT: Wide low-angle shot pushing slowly up a canyon of red rock and black volcanic glass, heat-shimmer distorting the air across the whole frame. Fires burn steadily on bare stone with no fuel beneath them. Ash falls upward as often as down and never settles. Molten seams glow in the cliff walls, half-cooled, neither liquid nor solid. In the foreground a pine cone sits sealed shut with hardened resin on scorched ground, waiting, surrounded by fire that never quite reaches it. Embers stream past the lens in long trails. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
20,IV. TEN REGIONS,Neon Rainforest — everything shouting,no,03:10,03:20,,,10,"A forest screaming light in ten thousand voices, and not one living thing in it able to be seen.","Overwhelming insect noise, layered to painfulness. It cuts dead at the tent.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. SHOT: Slow steadicam glide through a dense night rainforest saturated in overwhelming bioluminescence: every leaf, vine, fungal shelf, root, insect and drop of river water blazing in turquoise, magenta and acid-green, all pulsing at different rates, far too bright, with no darkness anywhere for any of it to read against. The camera pushes through hanging light-vines into a small clearing where one researcher's blackout tent stands with its flap sealed — a single perfect square of true black in a world with none left. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
21,IV. TEN REGIONS,Ten places to stand,yes,03:20,03:30,01:50,02:00,10,Ten stars. Ten homelands. And not a single one of them willing to be carried again.,"Ten tones returning, one at a time, building to the chord from shot 02 — but incomplete.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE EMPTY SKY. SHOT: One continuous impossible camera move: a slow pull-back from a single glowing green root deep underground, rising up through soil and stone into open sky, where the whole of Veylora is visible far below at dusk — and in ten separate distant places across the landscape, ten different coloured glows are burning up from beneath the ground: green in the meadow, silver in the forest, blue on the coast, red in the canyon, white on the peaks, turquoise in the jungle, aurora in the north, gold in far ruins, violet under a dead mountain, and one iridescent point beyond the edge of the map entirely. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
